Dataset,Method,rank_test_score,split0_test_score,mean_test_score,params
artificial/cassini,AutoCloud,1.0,0.0744584999103712,0.0744584999103712,{'m': 1.0}
artificial/cassini,CEDAS,1.0,0.6834481120873902,0.6834481120873902,"{'radius': 0.112, 'min_samples': 12, 'decay': 944}"
artificial/cassini,DBSTREAM,1.0,0.5869574087599201,0.5869574087599201,"{'minimum_weight': 1.889, 'intersection_factor': 0.122, 'clustering_threshold': 0.472}"
artificial/cassini,DenStream,1.0,0.8001058705387952,0.8001058705387952,"{'n_samples_init': 60, 'mu': 34.762, 'epsilon': 0.05, 'decaying_factor': 0.01}"
artificial/cassini,eSBM4Clus,1.0,1.0,1.0,"{'w': 30, 'beta': 0.666}"
artificial/cassini,MacroSOStream,1.0,0.259766483535931,0.259766483535931,"{'p': 7.0, 'min_pts': 11, 'merge_threshold': 0.001, 'alpha': 0.504}"
artificial/cassini,MCMSTStream,1.0,0.1200264525337826,0.1200264525337826,"{'sliding_window_size': 500, 'radius': 0.056, 'min_samples': 6, 'min_micros': 4}"
artificial/cassini,MicroTEDAClus,1.0,0.1458819710832467,0.1458819710832467,{'r0': 0.001}
artificial/cassini,OEC,1.0,1.0,1.0,"{'stab_period': 17, 'gamma_normal': 0.555, 'ff': 0.881}"
artificial/cassini,SOSTream,1.0,0.6641051109576389,0.6641051109576389,"{'min_pts': 2, 'merge_threshold': 0.001, 'alpha': 0.603}"
artificial/chameleon-ds3-clean,AutoCloud,1.0,0.0547665042896287,0.0547665042896287,{'m': 1.0}
artificial/chameleon-ds3-clean,CEDAS,1.0,0.6140312996840194,0.6140312996840194,"{'radius': 0.056, 'min_samples': 12, 'decay': 2000}"
artificial/chameleon-ds3-clean,DBSTREAM,1.0,0.4129779248510488,0.4129779248510488,"{'minimum_weight': 2.556, 'intersection_factor': 0.1, 'clustering_threshold': 0.367}"
artificial/chameleon-ds3-clean,DenStream,1.0,0.4849326168881099,0.4849326168881099,"{'n_samples_init': 115, 'mu': 12.54, 'epsilon': 0.07, 'decaying_factor': 0.02}"
artificial/chameleon-ds3-clean,eSBM4Clus,1.0,0.9110401797952108,0.9110401797952108,"{'w': 30, 'beta': 0.334}"
artificial/chameleon-ds3-clean,MacroSOStream,1.0,0.2233367527595879,0.2233367527595879,"{'p': 7.0, 'min_pts': 9, 'merge_threshold': 0.001, 'alpha': 0.109}"
artificial/chameleon-ds3-clean,MCMSTStream,1.0,0.0,0.0,"{'sliding_window_size': 600, 'radius': 0.167, 'min_samples': 6, 'min_micros': 2}"
artificial/chameleon-ds3-clean,MicroTEDAClus,1.0,0.247115597545097,0.247115597545097,{'r0': 0.001}
artificial/chameleon-ds3-clean,OEC,1.0,0.4156723023441203,0.4156723023441203,"{'stab_period': 20, 'gamma_normal': 0.944, 'ff': 0.554}"
artificial/chameleon-ds3-clean,SOSTream,1.0,0.5094056707502607,0.5094056707502607,"{'min_pts': 4, 'merge_threshold': 0.001, 'alpha': 0.109}"
artificial/chameleon-ds3-with-noise,AutoCloud,1.0,0.2122422998954351,0.2122422998954351,{'m': 1.0}
artificial/chameleon-ds3-with-noise,CEDAS,1.0,0.37079709805541,0.37079709805541,"{'radius': 0.112, 'min_samples': 16, 'decay': 1788}"
artificial/chameleon-ds3-with-noise,DBSTREAM,1.0,0.3980840206210702,0.3980840206210702,"{'minimum_weight': 2.778, 'intersection_factor': 0.144, 'clustering_threshold': 0.578}"
artificial/chameleon-ds3-with-noise,DenStream,1.0,0.4246109310484905,0.4246109310484905,"{'n_samples_init': 335, 'mu': 12.54, 'epsilon': 0.06, 'decaying_factor': 0.03}"
artificial/chameleon-ds3-with-noise,eSBM4Clus,1.0,0.7484302930866482,0.7484302930866482,"{'w': 25, 'beta': 0.888}"
artificial/chameleon-ds3-with-noise,MacroSOStream,1.0,0.152452489141437,0.152452489141437,"{'p': 6.0, 'min_pts': 3, 'merge_threshold': 0.223, 'alpha': 0.406}"
artificial/chameleon-ds3-with-noise,MCMSTStream,1.0,0.3412914571672186,0.3412914571672186,"{'sliding_window_size': 600, 'radius': 0.056, 'min_samples': 2, 'min_micros': 2}"
artificial/chameleon-ds3-with-noise,MicroTEDAClus,1.0,0.2513393298588167,0.2513393298588167,{'r0': 0.001}
artificial/chameleon-ds3-with-noise,OEC,1.0,0.6429799977401974,0.6429799977401974,"{'stab_period': 20, 'gamma_normal': 0.666, 'ff': 0.827}"
artificial/chameleon-ds3-with-noise,SOSTream,1.0,0.2750847961109146,0.2750847961109146,"{'min_pts': 10, 'merge_threshold': 0.389, 'alpha': 0.307}"
artificial/chameleon-ds4-clean,AutoCloud,1.0,0.2338700714202407,0.2338700714202407,{'m': 2.0}
artificial/chameleon-ds4-clean,CEDAS,1.0,0.5498989926535494,0.5498989926535494,"{'radius': 0.056, 'min_samples': 12, 'decay': 2000}"
artificial/chameleon-ds4-clean,DBSTREAM,1.0,0.4109541422105016,0.4109541422105016,"{'minimum_weight': 2.778, 'intersection_factor': 0.189, 'clustering_threshold': 0.156}"
