mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_stab_period,param_gamma_normal,param_ff,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
3.6538209915161133,0.0,3.164713144302368,0.0,15,0.5,0.772,"{'stab_period': 15, 'gamma_normal': 0.5, 'ff': 0.772}",0.15582360058094438,0.15582360058094438,0.0,36
2.1654911041259766,0.0,1.255277395248413,0.0,17,0.555,0.936,"{'stab_period': 17, 'gamma_normal': 0.555, 'ff': 0.936}",0.14959649564027785,0.14959649564027785,0.0,42
1.7583963871002197,0.0,0.6371419429779053,0.0,4,0.777,0.718,"{'stab_period': 4, 'gamma_normal': 0.777, 'ff': 0.718}",0.0035172861719722256,0.0035172861719722256,0.0,99
3.337752342224121,0.0,2.6175873279571533,0.0,17,0.833,0.663,"{'stab_period': 17, 'gamma_normal': 0.833, 'ff': 0.663}",0.18989035698554754,0.18989035698554754,0.0,13
3.174715757369995,0.0,0.5401206016540527,0.0,4,0.722,0.609,"{'stab_period': 4, 'gamma_normal': 0.722, 'ff': 0.609}",0.005357116730794518,0.005357116730794518,0.0,95
2.2725133895874023,0.0,0.6751477718353271,0.0,20,0.611,0.99,"{'stab_period': 20, 'gamma_normal': 0.611, 'ff': 0.99}",0.130495889919848,0.130495889919848,0.0,52
1.5803594589233398,0.0,0.5311169624328613,0.0,4,0.833,0.609,"{'stab_period': 4, 'gamma_normal': 0.833, 'ff': 0.609}",-0.0004897617962525174,-0.0004897617962525174,0.0,100
3.4777798652648926,0.0,2.5955896377563477,0.0,0,0.555,0.936,"{'stab_period': 0, 'gamma_normal': 0.555, 'ff': 0.936}",0.016511228077372625,0.016511228077372625,0.0,94
2.838632583618164,0.0,0.6171367168426514,0.0,17,0.555,0.663,"{'stab_period': 17, 'gamma_normal': 0.555, 'ff': 0.663}",0.1850620114631744,0.1850620114631744,0.0,20
4.717054843902588,0.0,3.0016775131225586,0.0,20,0.722,0.5,"{'stab_period': 20, 'gamma_normal': 0.722, 'ff': 0.5}",0.18963571114016653,0.18963571114016653,0.0,14
4.525012493133545,0.0,2.786628246307373,0.0,13,0.722,0.718,"{'stab_period': 13, 'gamma_normal': 0.722, 'ff': 0.718}",0.1874335137025185,0.1874335137025185,0.0,17
3.1767122745513916,0.0,0.4371027946472168,0.0,4,0.722,0.554,"{'stab_period': 4, 'gamma_normal': 0.722, 'ff': 0.554}",0.005357116730794518,0.005357116730794518,0.0,95
1.6793780326843262,0.0,1.0102252960205078,0.0,17,0.833,0.99,"{'stab_period': 17, 'gamma_normal': 0.833, 'ff': 0.99}",0.09354137473980206,0.09354137473980206,0.0,70
4.055907249450684,0.0,3.203720808029175,0.0,11,0.722,0.663,"{'stab_period': 11, 'gamma_normal': 0.722, 'ff': 0.663}",0.18079403154903537,0.18079403154903537,0.0,24
3.3877580165863037,0.0,0.8371899127960205,0.0,2,0.888,0.99,"{'stab_period': 2, 'gamma_normal': 0.888, 'ff': 0.99}",0.003999302183440529,0.003999302183440529,0.0,97
2.3065149784088135,0.0,2.6115849018096924,0.0,6,0.666,0.554,"{'stab_period': 6, 'gamma_normal': 0.666, 'ff': 0.554}",0.09559897584845206,0.09559897584845206,0.0,66
5.301183700561523,0.0,4.4670045375823975,0.0,8,0.5,0.554,"{'stab_period': 8, 'gamma_normal': 0.5, 'ff': 0.554}",0.18533992445562678,0.18533992445562678,0.0,19
6.9995691776275635,0.0,2.9756650924682617,0.0,13,0.5,0.5,"{'stab_period': 13, 'gamma_normal': 0.5, 'ff': 0.5}",0.2005290163560998,0.2005290163560998,0.0,11
8.779969453811646,0.0,5.233681678771973,0.0,0,0.5,0.827,"{'stab_period': 0, 'gamma_normal': 0.5, 'ff': 0.827}",0.0675047226802567,0.0675047226802567,0.0,86
4.924102306365967,0.0,3.3287484645843506,0.0,13,0.999,0.718,"{'stab_period': 13, 'gamma_normal': 0.999, 'ff': 0.718}",0.1815224077380659,0.1815224077380659,0.0,23
4.249951362609863,0.0,3.015676259994507,0.0,4,0.5,0.881,"{'stab_period': 4, 'gamma_normal': 0.5, 'ff': 0.881}",0.08565008550069855,0.08565008550069855,0.0,77
3.9988949298858643,0.0,1.5283448696136475,0.0,4,0.888,0.718,"{'stab_period': 4, 'gamma_normal': 0.888, 'ff': 0.718}",0.1011474781797817,0.1011474781797817,0.0,64
4.175940275192261,0.0,2.321518659591675,0.0,17,0.999,0.772,"{'stab_period': 17, 'gamma_normal': 0.999, 'ff': 0.772}",0.18408997476605327,0.18408997476605327,0.0,22
5.5102379322052,0.0,5.141662120819092,0.0,4,0.5,0.772,"{'stab_period': 4, 'gamma_normal': 0.5, 'ff': 0.772}",0.07606572675860272,0.07606572675860272,0.0,82
5.166158199310303,0.0,4.021902322769165,0.0,6,0.666,0.718,"{'stab_period': 6, 'gamma_normal': 0.666, 'ff': 0.718}",0.09265819510714711,0.09265819510714711,0.0,71
6.068364143371582,0.0,2.0484566688537598,0.0,20,0.555,0.554,"{'stab_period': 20, 'gamma_normal': 0.555, 'ff': 0.554}",0.17651138857178955,0.17651138857178955,0.0,25
2.6756014823913574,0.0,1.647371768951416,0.0,17,0.5,0.554,"{'stab_period': 17, 'gamma_normal': 0.5, 'ff': 0.554}",0.18628818168766725,0.18628818168766725,0.0,18
4.559022903442383,0.0,4.119922399520874,0.0,15,0.722,0.827,"{'stab_period': 15, 'gamma_normal': 0.722, 'ff': 0.827}",0.1848040811895663,0.1848040811895663,0.0,21
3.5908069610595703,0.0,1.7974026203155518,0.0,20,0.944,0.772,"{'stab_period': 20, 'gamma_normal': 0.944, 'ff': 0.772}",0.346504343042676,0.346504343042676,0.0,4
6.048356533050537,0.0,1.9129383563995361,0.0,8,0.888,0.663,"{'stab_period': 8, 'gamma_normal': 0.888, 'ff': 0.663}",0.14522883747147572,0.14522883747147572,0.0,46
3.715834140777588,0.0,1.584357500076294,0.0,0,0.555,0.99,"{'stab_period': 0, 'gamma_normal': 0.555, 'ff': 0.99}",0.003791881842574987,0.003791881842574987,0.0,98
2.5915799140930176,0.0,1.113250494003296,0.0,17,0.555,0.881,"{'stab_period': 17, 'gamma_normal': 0.555, 'ff': 0.881}",0.22744108953219022,0.22744108953219022,0.0,7
4.780070543289185,0.0,4.218978643417358,0.0,8,0.722,0.881,"{'stab_period': 8, 'gamma_normal': 0.722, 'ff': 0.881}",0.13289574680282012,0.13289574680282012,0.0,51
5.2713093757629395,0.0,2.5339515209198,0.0,8,0.999,0.718,"{'stab_period': 8, 'gamma_normal': 0.999, 'ff': 0.718}",0.12948380331332174,0.12948380331332174,0.0,53
