mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_p,param_min_pts,param_merge_threshold,param_alpha,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
8.774973392486572,0.0,1.0222315788269043,0.0,6.0,7,0.112,0.01,"{'p': 6.0, 'min_pts': 7, 'merge_threshold': 0.112, 'alpha': 0.01}",0.0,0.0,0.0,18
7.961790561676025,0.0,0.994225025177002,0.0,3.0,20,0.056,0.504,"{'p': 3.0, 'min_pts': 20, 'merge_threshold': 0.056, 'alpha': 0.504}",0.0,0.0,0.0,18
2.5715832710266113,0.0,0.004997968673706055,0.0,6.0,1,0.5,0.01,"{'p': 6.0, 'min_pts': 1, 'merge_threshold': 0.5, 'alpha': 0.01}",0.0,0.0,0.0,18
5.24018120765686,0.0,1.0282301902770996,0.0,4.0,3,0.445,0.702,"{'p': 4.0, 'min_pts': 3, 'merge_threshold': 0.445, 'alpha': 0.702}",0.11634352443991883,0.11634352443991883,0.0,5
5.312196731567383,0.0,0.43109607696533203,0.0,6.0,20,0.445,0.208,"{'p': 6.0, 'min_pts': 20, 'merge_threshold': 0.445, 'alpha': 0.208}",0.0,0.0,0.0,18
19.46036958694458,0.0,1.6953792572021484,0.0,7.0,11,0.001,0.504,"{'p': 7.0, 'min_pts': 11, 'merge_threshold': 0.001, 'alpha': 0.504}",0.0344522033250333,0.0344522033250333,0.0,13
10.927452325820923,0.0,1.524341106414795,0.0,5.0,9,0.056,0.01,"{'p': 5.0, 'min_pts': 9, 'merge_threshold': 0.056, 'alpha': 0.01}",0.0,0.0,0.0,18
7.127599716186523,0.0,1.0542371273040771,0.0,6.0,5,0.112,0.406,"{'p': 6.0, 'min_pts': 5, 'merge_threshold': 0.112, 'alpha': 0.406}",0.0,0.0,0.0,18
5.553246974945068,0.0,0.4270951747894287,0.0,2.0,11,0.389,0.702,"{'p': 2.0, 'min_pts': 11, 'merge_threshold': 0.389, 'alpha': 0.702}",0.0,0.0,0.0,18
5.969340801239014,0.0,0.41509437561035156,0.0,3.0,13,0.223,0.307,"{'p': 3.0, 'min_pts': 13, 'merge_threshold': 0.223, 'alpha': 0.307}",0.0,0.0,0.0,18
6.066362142562866,0.0,0.6961574554443359,0.0,5.0,20,0.167,0.9,"{'p': 5.0, 'min_pts': 20, 'merge_threshold': 0.167, 'alpha': 0.9}",0.0,0.0,0.0,18
6.434441804885864,0.0,0.7621731758117676,0.0,7.0,20,0.167,0.504,"{'p': 7.0, 'min_pts': 20, 'merge_threshold': 0.167, 'alpha': 0.504}",0.0,0.0,0.0,18
6.223395586013794,0.0,0.7561724185943604,0.0,5.0,15,0.167,0.504,"{'p': 5.0, 'min_pts': 15, 'merge_threshold': 0.167, 'alpha': 0.504}",0.0,0.0,0.0,18
5.384211778640747,0.0,0.4501006603240967,0.0,3.0,13,0.5,0.208,"{'p': 3.0, 'min_pts': 13, 'merge_threshold': 0.5, 'alpha': 0.208}",0.0,0.0,0.0,18
6.215397119522095,0.0,1.168262243270874,0.0,7.0,3,0.278,0.208,"{'p': 7.0, 'min_pts': 3, 'merge_threshold': 0.278, 'alpha': 0.208}",0.15244272307199577,0.15244272307199577,0.0,2
5.983344793319702,0.0,0.4350929260253906,0.0,5.0,9,0.223,0.801,"{'p': 5.0, 'min_pts': 9, 'merge_threshold': 0.223, 'alpha': 0.801}",0.0,0.0,0.0,18
5.7432873249053955,0.0,0.43109703063964844,0.0,3.0,13,0.278,0.307,"{'p': 3.0, 'min_pts': 13, 'merge_threshold': 0.278, 'alpha': 0.307}",0.0,0.0,0.0,18
5.482229948043823,0.0,0.4370999336242676,0.0,5.0,13,0.389,0.406,"{'p': 5.0, 'min_pts': 13, 'merge_threshold': 0.389, 'alpha': 0.406}",0.0,0.0,0.0,18
20.090511083602905,0.0,1.7083830833435059,0.0,4.0,20,0.001,0.801,"{'p': 4.0, 'min_pts': 20, 'merge_threshold': 0.001, 'alpha': 0.801}",0.06424955166172283,0.06424955166172283,0.0,9
5.765292167663574,0.0,0.4741072654724121,0.0,3.0,9,0.278,0.603,"{'p': 3.0, 'min_pts': 9, 'merge_threshold': 0.278, 'alpha': 0.603}",0.0,0.0,0.0,18
7.7487406730651855,0.0,1.102247714996338,0.0,3.0,13,0.278,0.01,"{'p': 3.0, 'min_pts': 13, 'merge_threshold': 0.278, 'alpha': 0.01}",0.0,0.0,0.0,18
8.002798318862915,0.0,0.753171443939209,0.0,2.0,11,0.056,0.801,"{'p': 2.0, 'min_pts': 11, 'merge_threshold': 0.056, 'alpha': 0.801}",0.0,0.0,0.0,18
24.803565740585327,0.0,3.0736911296844482,0.0,10.0,9,0.001,0.307,"{'p': 10.0, 'min_pts': 9, 'merge_threshold': 0.001, 'alpha': 0.307}",0.0,0.0,0.0,18
6.692502498626709,0.0,0.8291876316070557,0.0,4.0,11,0.389,0.01,"{'p': 4.0, 'min_pts': 11, 'merge_threshold': 0.389, 'alpha': 0.01}",0.0,0.0,0.0,18
6.221393823623657,0.0,2.0414576530456543,0.0,10.0,3,0.389,0.9,"{'p': 10.0, 'min_pts': 3, 'merge_threshold': 0.389, 'alpha': 0.9}",0.057607349357309115,0.057607349357309115,0.0,10
5.946333408355713,0.0,0.8021790981292725,0.0,9.0,17,0.445,0.109,"{'p': 9.0, 'min_pts': 17, 'merge_threshold': 0.445, 'alpha': 0.109}",0.0,0.0,0.0,18
20.357566833496094,0.0,9.006022930145264,0.0,1.0,3,0.056,0.109,"{'p': 1.0, 'min_pts': 3, 'merge_threshold': 0.056, 'alpha': 0.109}",0.0,0.0,0.0,18
7.39866304397583,0.0,0.7761745452880859,0.0,6.0,17,0.112,0.603,"{'p': 6.0, 'min_pts': 17, 'merge_threshold': 0.112, 'alpha': 0.603}",0.0,0.0,0.0,18
7.087589263916016,0.0,1.651369571685791,0.0,2.0,5,0.056,0.603,"{'p': 2.0, 'min_pts': 5, 'merge_threshold': 0.056, 'alpha': 0.603}",0.08389188912623348,0.08389188912623348,0.0,8
24.559508323669434,0.0,4.404990196228027,0.0,2.0,7,0.001,0.109,"{'p': 2.0, 'min_pts': 7, 'merge_threshold': 0.001, 'alpha': 0.109}",0.027342408528929867,0.027342408528929867,0.0,14
6.805526256561279,0.0,1.0832419395446777,0.0,6.0,3,0.223,0.406,"{'p': 6.0, 'min_pts': 3, 'merge_threshold': 0.223, 'alpha': 0.406}",0.15245248914143705,0.15245248914143705,0.0,1
5.8263068199157715,0.0,0.4300978183746338,0.0,8.0,15,0.445,0.208,"{'p': 8.0, 'min_pts': 15, 'merge_threshold': 0.445, 'alpha': 0.208}",0.0,0.0,0.0,18
2.823637008666992,0.0,0.0050013065338134766,0.0,7.0,1,0.334,0.307,"{'p': 7.0, 'min_pts': 1, 'merge_threshold': 0.334, 'alpha': 0.307}",0.0,0.0,0.0,18
5.559247970581055,0.0,0.4300978183746338,0.0,10.0,5,0.278,0.9,"{'p': 10.0, 'min_pts': 5, 'merge_threshold': 0.278, 'alpha': 0.9}",0.0,0.0,0.0,18
5.82030725479126,0.0,0.46210384368896484,0.0,2.0,13,0.278,0.208,"{'p': 2.0, 'min_pts': 13, 'merge_threshold': 0.278, 'alpha': 0.208}",0.0,0.0,0.0,18
5.416216135025024,0.0,1.1922686100006104,0.0,1.0,5,0.5,0.801,"{'p': 1.0, 'min_pts': 5, 'merge_threshold': 0.5, 'alpha': 0.801}",0.03920407173378834,0.03920407173378834,0.0,11
5.460226774215698,0.0,0.5071132183074951,0.0,2.0,15,0.389,0.603,"{'p': 2.0, 'min_pts': 15, 'merge_threshold': 0.389, 'alpha': 0.603}",0.0,0.0,0.0,18
7.73673415184021,0.0,0.7561724185943604,0.0,2.0,7,0.223,0.01,"{'p': 2.0, 'min_pts': 7, 'merge_threshold': 0.223, 'alpha': 0.01}",0.0,0.0,0.0,18
25.28967022895813,0.0,1.1392571926116943,0.0,5.0,15,0.001,0.406,"{'p': 5.0, 'min_pts': 15, 'merge_threshold': 0.001, 'alpha': 0.406}",0.14753611183263382,0.14753611183263382,0.0,3
7.154605150222778,0.0,1.0032272338867188,0.0,3.0,9,0.278,0.01,"{'p': 3.0, 'min_pts': 9, 'merge_threshold': 0.278, 'alpha': 0.01}",0.0,0.0,0.0,18
6.607483863830566,0.0,0.7251629829406738,0.0,8.0,17,0.112,0.9,"{'p': 8.0, 'min_pts': 17, 'merge_threshold': 0.112, 'alpha': 0.9}",0.0,0.0,0.0,18
6.631490468978882,0.0,0.7161564826965332,0.0,9.0,15,0.223,0.109,"{'p': 9.0, 'min_pts': 15, 'merge_threshold': 0.223, 'alpha': 0.109}",0.0,0.0,0.0,18
