mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_stab_period,param_gamma_normal,param_ff,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
7.548608303070068,0.0,3.702833890914917,0.0,15,0.5,0.772,"{'stab_period': 15, 'gamma_normal': 0.5, 'ff': 0.772}",0.5418332375858756,0.5418332375858756,0.0,3
4.918013334274292,0.0,2.3365519046783447,0.0,17,0.555,0.936,"{'stab_period': 17, 'gamma_normal': 0.555, 'ff': 0.936}",0.35592159311381216,0.35592159311381216,0.0,45
11.316653966903687,0.0,3.3577523231506348,0.0,4,0.777,0.718,"{'stab_period': 4, 'gamma_normal': 0.777, 'ff': 0.718}",0.31106679461145686,0.31106679461145686,0.0,62
6.101168394088745,0.0,4.655078172683716,0.0,17,0.833,0.663,"{'stab_period': 17, 'gamma_normal': 0.833, 'ff': 0.663}",0.37977890393340114,0.37977890393340114,0.0,29
11.716756820678711,0.0,5.2601799964904785,0.0,4,0.722,0.609,"{'stab_period': 4, 'gamma_normal': 0.722, 'ff': 0.609}",0.2774741251850431,0.2774741251850431,0.0,72
4.952210903167725,0.0,1.6873736381530762,0.0,20,0.611,0.99,"{'stab_period': 20, 'gamma_normal': 0.611, 'ff': 0.99}",0.3106830004969601,0.3106830004969601,0.0,63
7.382777690887451,0.0,2.4695591926574707,0.0,4,0.833,0.609,"{'stab_period': 4, 'gamma_normal': 0.833, 'ff': 0.609}",0.13783199971464583,0.13783199971464583,0.0,93
6.863824367523193,0.0,2.1173174381256104,0.0,0,0.555,0.936,"{'stab_period': 0, 'gamma_normal': 0.555, 'ff': 0.936}",0.13471927034793357,0.13471927034793357,0.0,94
5.538974046707153,0.0,3.506814479827881,0.0,17,0.555,0.663,"{'stab_period': 17, 'gamma_normal': 0.555, 'ff': 0.663}",0.4207118249625126,0.4207118249625126,0.0,18
5.071861505508423,0.0,3.4808108806610107,0.0,20,0.722,0.5,"{'stab_period': 20, 'gamma_normal': 0.722, 'ff': 0.5}",0.5497249167062487,0.5497249167062487,0.0,2
11.073241233825684,0.0,3.999899387359619,0.0,13,0.722,0.718,"{'stab_period': 13, 'gamma_normal': 0.722, 'ff': 0.718}",0.3791307398853527,0.3791307398853527,0.0,30
6.852265119552612,0.0,5.721310377120972,0.0,4,0.722,0.554,"{'stab_period': 4, 'gamma_normal': 0.722, 'ff': 0.554}",0.3712211870748506,0.3712211870748506,0.0,37
4.3954918384552,0.0,1.6583755016326904,0.0,17,0.833,0.99,"{'stab_period': 17, 'gamma_normal': 0.833, 'ff': 0.99}",0.3371037134003331,0.3371037134003331,0.0,55
