mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_pts,param_merge_threshold,param_alpha,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
23.654297590255737,0.0,4.724059581756592,0.0,16,0.001,0.504,"{'min_pts': 16, 'merge_threshold': 0.001, 'alpha': 0.504}",0.0,0.0,0.0,88
10.565353631973267,0.0,2.540571689605713,0.0,18,0.056,0.801,"{'min_pts': 18, 'merge_threshold': 0.056, 'alpha': 0.801}",0.019872070209605568,0.019872070209605568,0.0,46
5.057125568389893,0.0,1.6943790912628174,0.0,6,0.278,0.406,"{'min_pts': 6, 'merge_threshold': 0.278, 'alpha': 0.406}",0.0037000525536904586,0.0037000525536904586,0.0,78
6.932537078857422,0.0,2.036459445953369,0.0,18,0.334,0.307,"{'min_pts': 18, 'merge_threshold': 0.334, 'alpha': 0.307}",0.006587275663227182,0.006587275663227182,0.0,68
5.750276565551758,0.0,1.5173428058624268,0.0,6,0.223,0.208,"{'min_pts': 6, 'merge_threshold': 0.223, 'alpha': 0.208}",0.004357824175205413,0.004357824175205413,0.0,76
8.233848094940186,0.0,2.512566328048706,0.0,20,0.112,0.9,"{'min_pts': 20, 'merge_threshold': 0.112, 'alpha': 0.9}",0.018202391126152167,0.018202391126152167,0.0,51
4.992122411727905,0.0,1.8014030456542969,0.0,6,0.334,0.208,"{'min_pts': 6, 'merge_threshold': 0.334, 'alpha': 0.208}",0.007731746948825942,0.007731746948825942,0.0,66
46.28138589859009,0.0,32.618839263916016,0.0,2,0.056,0.801,"{'min_pts': 2, 'merge_threshold': 0.056, 'alpha': 0.801}",0.0049985454495781855,0.0049985454495781855,0.0,73
15.081382036209106,0.0,5.531240940093994,0.0,18,0.056,0.307,"{'min_pts': 18, 'merge_threshold': 0.056, 'alpha': 0.307}",0.08928790947593784,0.08928790947593784,0.0,15
12.268753290176392,0.0,4.571027994155884,0.0,20,0.223,0.01,"{'min_pts': 20, 'merge_threshold': 0.223, 'alpha': 0.01}",0.008357997259985882,0.008357997259985882,0.0,64
6.874541997909546,0.0,1.9864468574523926,0.0,14,0.223,0.406,"{'min_pts': 14, 'merge_threshold': 0.223, 'alpha': 0.406}",0.0919709815824744,0.0919709815824744,0.0,14
6.110371112823486,0.0,1.2782869338989258,0.0,6,0.223,0.109,"{'min_pts': 6, 'merge_threshold': 0.223, 'alpha': 0.109}",0.00861994814516598,0.00861994814516598,0.0,63
6.2233967781066895,0.0,1.8194069862365723,0.0,18,0.334,0.9,"{'min_pts': 18, 'merge_threshold': 0.334, 'alpha': 0.9}",0.00801367509375453,0.00801367509375453,0.0,65
6.782519817352295,0.0,1.245284080505371,0.0,12,0.223,0.307,"{'min_pts': 12, 'merge_threshold': 0.223, 'alpha': 0.307}",0.04765654423416464,0.04765654423416464,0.0,32
4.0299060344696045,0.0,0.9232065677642822,0.0,4,0.389,0.9,"{'min_pts': 4, 'merge_threshold': 0.389, 'alpha': 0.9}",0.08387170594997158,0.08387170594997158,0.0,16
7.617710590362549,0.0,2.3615307807922363,0.0,8,0.167,0.109,"{'min_pts': 8, 'merge_threshold': 0.167, 'alpha': 0.109}",0.08051189060181022,0.08051189060181022,0.0,18
22.91813898086548,0.0,4.830085039138794,0.0,10,0.001,0.109,"{'min_pts': 10, 'merge_threshold': 0.001, 'alpha': 0.109}",0.0,0.0,0.0,88
23.141191244125366,0.0,4.232951641082764,0.0,14,0.001,0.01,"{'min_pts': 14, 'merge_threshold': 0.001, 'alpha': 0.01}",0.0,0.0,0.0,88
59.98946022987366,0.0,34.47248411178589,0.0,2,0.001,0.603,"{'min_pts': 2, 'merge_threshold': 0.001, 'alpha': 0.603}",0.0015250259754298545,0.0015250259754298545,0.0,84
5.70527982711792,0.0,3.147707939147949,0.0,14,0.5,0.406,"{'min_pts': 14, 'merge_threshold': 0.5, 'alpha': 0.406}",0.005145898865754352,0.005145898865754352,0.0,72
12.489806652069092,0.0,1.736386775970459,0.0,6,0.001,0.702,"{'min_pts': 6, 'merge_threshold': 0.001, 'alpha': 0.702}",0.015373887722208344,0.015373887722208344,0.0,54
4.431995868682861,0.0,1.8014037609100342,0.0,6,0.389,0.406,"{'min_pts': 6, 'merge_threshold': 0.389, 'alpha': 0.406}",0.01019434897127714,0.01019434897127714,0.0,59
6.1723856925964355,0.0,1.5693535804748535,0.0,18,0.5,0.504,"{'min_pts': 18, 'merge_threshold': 0.5, 'alpha': 0.504}",0.015355720373573889,0.015355720373573889,0.0,55
