mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_radius,param_min_samples,param_decay,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0.8705992698669434,0.0,0.09102010726928711,0.0,0.389,2,1155,"{'radius': 0.389, 'min_samples': 2, 'decay': 1155}",0.0,0.0,0.0,23
1.064246416091919,0.0,0.0930171012878418,0.0,0.445,4,1788,"{'radius': 0.445, 'min_samples': 4, 'decay': 1788}",0.0,0.0,0.0,23
0.9472141265869141,0.0,0.08801770210266113,0.0,0.112,12,944,"{'radius': 0.112, 'min_samples': 12, 'decay': 944}",0.25726608422845687,0.25726608422845687,0.0,11
0.9882218837738037,0.0,0.0780181884765625,0.0,0.445,14,733,"{'radius': 0.445, 'min_samples': 14, 'decay': 733}",0.0,0.0,0.0,23
0.8812005519866943,0.0,0.09902024269104004,0.0,0.112,10,522,"{'radius': 0.112, 'min_samples': 10, 'decay': 522}",0.281110193640756,0.281110193640756,0.0,8
0.9412140846252441,0.0,0.09501838684082031,0.0,0.5,6,2000,"{'radius': 0.5, 'min_samples': 6, 'decay': 2000}",0.0,0.0,0.0,23
0.8671905994415283,0.0,0.09202146530151367,0.0,0.112,14,522,"{'radius': 0.112, 'min_samples': 14, 'decay': 522}",0.281110193640756,0.281110193640756,0.0,8
1.2073121070861816,0.0,0.0040013790130615234,0.0,0.001,4,1788,"{'radius': 0.001, 'min_samples': 4, 'decay': 1788}",0.0,0.0,0.0,23
0.8831987380981445,0.0,0.08501958847045898,0.0,0.445,4,733,"{'radius': 0.445, 'min_samples': 4, 'decay': 733}",0.0,0.0,0.0,23
0.98822021484375,0.0,0.10106539726257324,0.0,0.5,10,100,"{'radius': 0.5, 'min_samples': 10, 'decay': 100}",0.0,0.0,0.0,23
1.0462753772735596,0.0,0.09902191162109375,0.0,0.334,10,944,"{'radius': 0.334, 'min_samples': 10, 'decay': 944}",0.0,0.0,0.0,23
1.2073123455047607,0.0,0.09614348411560059,0.0,0.112,10,311,"{'radius': 0.112, 'min_samples': 10, 'decay': 311}",0.0,0.0,0.0,23
0.9032397270202637,0.0,0.09602499008178711,0.0,0.445,14,2000,"{'radius': 0.445, 'min_samples': 14, 'decay': 2000}",0.0,0.0,0.0,23
0.9152443408966064,0.0,0.09301996231079102,0.0,0.278,10,733,"{'radius': 0.278, 'min_samples': 10, 'decay': 733}",0.0,0.0,0.0,23
0.979475736618042,0.0,0.11376833915710449,0.0,0.056,16,2000,"{'radius': 0.056, 'min_samples': 16, 'decay': 2000}",0.4926072789816421,0.4926072789816421,0.0,2
0.9372105598449707,0.0,0.09601974487304688,0.0,0.167,8,311,"{'radius': 0.167, 'min_samples': 8, 'decay': 311}",0.0,0.0,0.0,23
1.0512361526489258,0.0,0.10402250289916992,0.0,0.223,2,311,"{'radius': 0.223, 'min_samples': 2, 'decay': 311}",0.0,0.0,0.0,23
0.8971304893493652,0.0,0.09001302719116211,0.0,0.334,2,100,"{'radius': 0.334, 'min_samples': 2, 'decay': 100}",0.0,0.0,0.0,23
1.316293478012085,0.0,0.3980882167816162,0.0,0.001,2,1366,"{'radius': 0.001, 'min_samples': 2, 'decay': 1366}",0.0003735991958736561,0.0003735991958736561,0.0,22
0.9002022743225098,0.0,0.09902048110961914,0.0,0.334,20,944,"{'radius': 0.334, 'min_samples': 20, 'decay': 944}",0.0,0.0,0.0,23
0.9602169990539551,0.0,0.08606338500976562,0.0,0.112,2,1577,"{'radius': 0.112, 'min_samples': 2, 'decay': 1577}",0.0,0.0,0.0,23
1.063239574432373,0.0,0.10707807540893555,0.0,0.112,16,944,"{'radius': 0.112, 'min_samples': 16, 'decay': 944}",0.25726608422845687,0.25726608422845687,0.0,11
0.9282088279724121,0.0,0.08902096748352051,0.0,0.445,20,1155,"{'radius': 0.445, 'min_samples': 20, 'decay': 1155}",0.0,0.0,0.0,23
1.2323338985443115,0.0,0.10602283477783203,0.0,0.112,2,1155,"{'radius': 0.112, 'min_samples': 2, 'decay': 1155}",0.25800549912076765,0.25800549912076765,0.0,10
0.8794472217559814,0.0,0.10402178764343262,0.0,0.167,8,944,"{'radius': 0.167, 'min_samples': 8, 'decay': 944}",0.0,0.0,0.0,23
0.8304264545440674,0.0,0.10208702087402344,0.0,0.5,4,311,"{'radius': 0.5, 'min_samples': 4, 'decay': 311}",0.0,0.0,0.0,23
0.9932465553283691,0.0,0.09702420234680176,0.0,0.445,2,311,"{'radius': 0.445, 'min_samples': 2, 'decay': 311}",0.0,0.0,0.0,23
0.9102253913879395,0.0,0.11102581024169922,0.0,0.389,10,1366,"{'radius': 0.389, 'min_samples': 10, 'decay': 1366}",0.0,0.0,0.0,23
0.8785214424133301,0.0,0.1049504280090332,0.0,0.5,18,1155,"{'radius': 0.5, 'min_samples': 18, 'decay': 1155}",0.0,0.0,0.0,23
0.8512141704559326,0.0,0.08301830291748047,0.0,0.223,16,733,"{'radius': 0.223, 'min_samples': 16, 'decay': 733}",0.21638799539228318,0.21638799539228318,0.0,14
1.232513189315796,0.0,0.005000114440917969,0.0,0.001,4,2000,"{'radius': 0.001, 'min_samples': 4, 'decay': 2000}",0.0,0.0,0.0,23
