mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_samples_init,param_mu,param_epsilon,param_decaying_factor,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
4.322967767715454,0.0,4.697060823440552,0.0,280,34.762,0.03,0.01,"{'n_samples_init': 280, 'mu': 34.762, 'epsilon': 0.03, 'decaying_factor': 0.01}",0.42357690854783053,0.42357690854783053,0.0,16
3.102694511413574,0.0,4.53001594543457,0.0,115,101.429,0.02,0.06,"{'n_samples_init': 115, 'mu': 101.429, 'epsilon': 0.02, 'decaying_factor': 0.06}",0.3630546597996179,0.3630546597996179,0.0,64
28.12630558013916,0.0,11.862658977508545,0.0,280,1.429,0.1,0.01,"{'n_samples_init': 280, 'mu': 1.429, 'epsilon': 0.1, 'decaying_factor': 0.01}",0.47858148288681807,0.47858148288681807,0.0,1
19.654401302337646,0.0,10.48536467552185,0.0,170,12.54,0.09,0.08,"{'n_samples_init': 170, 'mu': 12.54, 'epsilon': 0.09, 'decaying_factor': 0.08}",0.43694733599169344,0.43694733599169344,0.0,6
3.127704381942749,0.0,0.7581756114959717,0.0,280,101.429,0.09,0.03,"{'n_samples_init': 280, 'mu': 101.429, 'epsilon': 0.09, 'decaying_factor': 0.03}",0.0,0.0,0.0,91
5.272192716598511,0.0,3.8168530464172363,0.0,335,56.984,0.01,0.06,"{'n_samples_init': 335, 'mu': 56.984, 'epsilon': 0.01, 'decaying_factor': 0.06}",0.4176738586589827,0.4176738586589827,0.0,25
3.739842414855957,0.0,4.595026016235352,0.0,225,45.873,0.02,0.01,"{'n_samples_init': 225, 'mu': 45.873, 'epsilon': 0.02, 'decaying_factor': 0.01}",0.4166663466359112,0.4166663466359112,0.0,26
4.864102840423584,0.0,1.8854143619537354,0.0,280,23.651,0.03,0.05,"{'n_samples_init': 280, 'mu': 23.651, 'epsilon': 0.03, 'decaying_factor': 0.05}",0.4278786010111639,0.4278786010111639,0.0,12
2.9406585693359375,0.0,1.9884448051452637,0.0,60,56.984,0.08,0.08,"{'n_samples_init': 60, 'mu': 56.984, 'epsilon': 0.08, 'decaying_factor': 0.08}",0.16118101207727276,0.16118101207727276,0.0,89
3.1006975173950195,0.0,4.429000616073608,0.0,115,68.095,0.05,0.04,"{'n_samples_init': 115, 'mu': 68.095, 'epsilon': 0.05, 'decaying_factor': 0.04}",0.36825430362924155,0.36825430362924155,0.0,57
4.193942308425903,0.0,3.704834461212158,0.0,225,101.429,0.04,0.1,"{'n_samples_init': 225, 'mu': 101.429, 'epsilon': 0.04, 'decaying_factor': 0.1}",0.3624577545697641,0.3624577545697641,0.0,65
4.944096565246582,0.0,4.618040084838867,0.0,335,101.429,0.04,0.06,"{'n_samples_init': 335, 'mu': 101.429, 'epsilon': 0.04, 'decaying_factor': 0.06}",0.3820118325723699,0.3820118325723699,0.0,52
4.285955429077148,0.0,3.6288158893585205,0.0,225,79.206,0.04,0.06,"{'n_samples_init': 225, 'mu': 79.206, 'epsilon': 0.04, 'decaying_factor': 0.06}",0.3843387789422758,0.3843387789422758,0.0,51
1.5993454456329346,0.0,0.5951368808746338,0.0,115,68.095,0.1,0.03,"{'n_samples_init': 115, 'mu': 68.095, 'epsilon': 0.1, 'decaying_factor': 0.03}",0.0,0.0,0.0,91
11.487575054168701,0.0,8.600930213928223,0.0,335,12.54,0.06,0.03,"{'n_samples_init': 335, 'mu': 12.54, 'epsilon': 0.06, 'decaying_factor': 0.03}",0.36438250148240703,0.36438250148240703,0.0,63
4.423983812332153,0.0,4.638026475906372,0.0,225,45.873,0.05,0.09,"{'n_samples_init': 225, 'mu': 45.873, 'epsilon': 0.05, 'decaying_factor': 0.09}",0.40038773280223006,0.40038773280223006,0.0,40
3.66182279586792,0.0,4.667046785354614,0.0,115,68.095,0.06,0.04,"{'n_samples_init': 115, 'mu': 68.095, 'epsilon': 0.06, 'decaying_factor': 0.04}",0.35768909284639644,0.35768909284639644,0.0,68
3.5407893657684326,0.0,3.565802574157715,0.0,225,68.095,0.08,0.05,"{'n_samples_init': 225, 'mu': 68.095, 'epsilon': 0.08, 'decaying_factor': 0.05}",0.3364261052120867,0.3364261052120867,0.0,82
3.257735252380371,0.0,3.5858073234558105,0.0,170,101.429,0.01,0.09,"{'n_samples_init': 170, 'mu': 101.429, 'epsilon': 0.01, 'decaying_factor': 0.09}",0.3742163978207834,0.3742163978207834,0.0,56
3.0126659870147705,0.0,3.5397987365722656,0.0,115,45.873,0.06,0.07,"{'n_samples_init': 115, 'mu': 45.873, 'epsilon': 0.06, 'decaying_factor': 0.07}",0.3774118968595919,0.3774118968595919,0.0,55
3.593804359436035,0.0,4.922112703323364,0.0,115,68.095,0.06,0.01,"{'n_samples_init': 115, 'mu': 68.095, 'epsilon': 0.06, 'decaying_factor': 0.01}",0.35768909284639644,0.35768909284639644,0.0,68
3.6808230876922607,0.0,4.952118635177612,0.0,60,56.984,0.02,0.09,"{'n_samples_init': 60, 'mu': 56.984, 'epsilon': 0.02, 'decaying_factor': 0.09}",0.3924160185458596,0.3924160185458596,0.0,43
6.555474042892456,0.0,3.4567716121673584,0.0,500,45.873,0.01,0.04,"{'n_samples_init': 500, 'mu': 45.873, 'epsilon': 0.01, 'decaying_factor': 0.04}",0.4235957592833409,0.4235957592833409,0.0,15
