mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_stab_period,param_gamma_normal,param_ff,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
2.259021282196045,0.0,0.07800936698913574,0.0,15,0.5,0.772,"{'stab_period': 15, 'gamma_normal': 0.5, 'ff': 0.772}",0.0,0.0,0.0,1
2.308021068572998,0.0,0.08701634407043457,0.0,17,0.555,0.936,"{'stab_period': 17, 'gamma_normal': 0.555, 'ff': 0.936}",0.0,0.0,0.0,1
1.7647993564605713,0.0,0.11602067947387695,0.0,4,0.777,0.718,"{'stab_period': 4, 'gamma_normal': 0.777, 'ff': 0.718}",0.0,0.0,0.0,1
2.2989351749420166,0.0,0.06600737571716309,0.0,17,0.833,0.663,"{'stab_period': 17, 'gamma_normal': 0.833, 'ff': 0.663}",0.0,0.0,0.0,1
2.401954174041748,0.0,0.06100749969482422,0.0,4,0.722,0.609,"{'stab_period': 4, 'gamma_normal': 0.722, 'ff': 0.609}",0.0,0.0,0.0,1
1.834827184677124,0.0,0.08802032470703125,0.0,20,0.611,0.99,"{'stab_period': 20, 'gamma_normal': 0.611, 'ff': 0.99}",0.0,0.0,0.0,1
2.294924259185791,0.0,0.0690164566040039,0.0,4,0.833,0.609,"{'stab_period': 4, 'gamma_normal': 0.833, 'ff': 0.609}",0.0,0.0,0.0,1
1.7788052558898926,0.0,0.1250312328338623,0.0,0,0.555,0.936,"{'stab_period': 0, 'gamma_normal': 0.555, 'ff': 0.936}",0.0,0.0,0.0,1
2.4619596004486084,0.0,0.054018259048461914,0.0,17,0.555,0.663,"{'stab_period': 17, 'gamma_normal': 0.555, 'ff': 0.663}",0.0,0.0,0.0,1
2.1869027614593506,0.0,0.06701898574829102,0.0,20,0.722,0.5,"{'stab_period': 20, 'gamma_normal': 0.722, 'ff': 0.5}",0.0,0.0,0.0,1
1.809809923171997,0.0,0.23805570602416992,0.0,13,0.722,0.718,"{'stab_period': 13, 'gamma_normal': 0.722, 'ff': 0.718}",0.0,0.0,0.0,1
3.286586046218872,0.0,0.1131749153137207,0.0,4,0.722,0.554,"{'stab_period': 4, 'gamma_normal': 0.722, 'ff': 0.554}",0.0,0.0,0.0,1
