mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_r0,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
13.567701578140259,0.0,0.885434627532959,0.0,0.001,{'r0': 0.001},1.0,1.0,0.0,1
10.571123838424683,0.0,1.9060359001159668,0.0,0.056,{'r0': 0.056},1.0,1.0,0.0,1
10.764171600341797,0.0,1.8760199546813965,0.0,0.112,{'r0': 0.112},1.0,1.0,0.0,1
10.743166208267212,0.0,1.8520152568817139,0.0,0.167,{'r0': 0.167},1.0,1.0,0.0,1
10.799190044403076,0.0,1.86228609085083,0.0,0.223,{'r0': 0.223},1.0,1.0,0.0,1
11.136493444442749,0.0,1.711310863494873,0.0,0.278,{'r0': 0.278},1.0,1.0,0.0,1
11.027246236801147,0.0,1.812732219696045,0.0,0.334,{'r0': 0.334},1.0,1.0,0.0,1
11.057267904281616,0.0,1.764716386795044,0.0,0.389,{'r0': 0.389},1.0,1.0,0.0,1
10.783178567886353,0.0,1.8360095024108887,0.0,0.445,{'r0': 0.445},1.0,1.0,0.0,1
10.906198263168335,0.0,1.7552714347839355,0.0,0.5,{'r0': 0.5},1.0,1.0,0.0,1
